"","medv","age","lstat"
"1",24,65.2,4.98
"2",21.6,78.9,9.14
"3",34.7,61.1,4.03
"4",33.4,45.8,2.94
"5",36.2,54.2,5.33
"6",28.7,58.7,5.21
"7",22.9,66.6,12.43
"8",27.1,96.1,19.15
"9",16.5,100,29.93
"10",18.9,85.9,17.1
"11",15,94.3,20.45
"12",18.9,82.9,13.27
"13",21.7,39,15.71
"14",20.4,61.8,8.26
"15",18.2,84.5,10.26
"16",19.9,56.5,8.47
"17",23.1,29.3,6.58
"18",17.5,81.7,14.67
"19",20.2,36.6,11.69
"20",18.2,69.5,11.28
"21",13.6,98.1,21.02
"22",19.6,89.2,13.83
"23",15.2,91.7,18.72
"24",14.5,100,19.88
"25",15.6,94.1,16.3
"26",13.9,85.7,16.51
"27",16.6,90.3,14.81
"28",14.8,88.8,17.28
"29",18.4,94.4,12.8
"30",21,87.3,11.98
"31",12.7,94.1,22.6
"32",14.5,100,13.04
"33",13.2,82,27.71
"34",13.1,95,18.35
"35",13.5,96.9,20.34
"36",18.9,68.2,9.68
"37",20,61.4,11.41
"38",21,41.5,8.77
"39",24.7,30.2,10.13
"40",30.8,21.8,4.32
"41",34.9,15.8,1.98
"42",26.6,2.9,4.84
"43",25.3,6.6,5.81
"44",24.7,6.5,7.44
"45",21.2,40,9.55
"46",19.3,33.8,10.21
"47",20,33.3,14.15
"48",16.6,85.5,18.8
"49",14.4,95.3,30.81
"50",19.4,62,16.2
"51",19.7,45.7,13.45
"52",20.5,63,9.43
"53",25,21.1,5.28
"54",23.4,21.4,8.43
"55",18.9,47.6,14.8
"56",35.4,21.9,4.81
"57",24.7,35.7,5.77
"58",31.6,40.5,3.95
"59",23.3,29.2,6.86
"60",19.6,47.2,9.22
"61",18.7,66.2,13.15
"62",16,93.4,14.44
"63",22.2,67.8,6.73
"64",25,43.4,9.5
"65",33,59.5,8.05
"66",23.5,17.8,4.67
"67",19.4,31.1,10.24
"68",22,21.4,8.1
"69",17.4,36.8,13.09
"70",20.9,33,8.79
"71",24.2,6.6,6.72
"72",21.7,17.5,9.88
"73",22.8,7.8,5.52
"74",23.4,6.2,7.54
"75",24.1,6,6.78
"76",21.4,45,8.94
"77",20,74.5,11.97
"78",20.8,45.8,10.27
"79",21.2,53.7,12.34
"80",20.3,36.6,9.1
"81",28,33.5,5.29
"82",23.9,70.4,7.22
"83",24.8,32.2,6.72
"84",22.9,46.7,7.51
"85",23.9,48,9.62
"86",26.6,56.1,6.53
"87",22.5,45.1,12.86
"88",22.2,56.8,8.44
"89",23.6,86.3,5.5
"90",28.7,63.1,5.7
"91",22.6,66.1,8.81
"92",22,73.9,8.2
"93",22.9,53.6,8.16
"94",25,28.9,6.21
"95",20.6,77.3,10.59
"96",28.4,57.8,6.65
"97",21.4,69.6,11.34
"98",38.7,76,4.21
"99",43.8,36.9,3.57
"100",33.2,62.5,6.19
"101",27.5,79.9,9.42
"102",26.5,71.3,7.67
"103",18.6,85.4,10.63
"104",19.3,87.4,13.44
"105",20.1,90,12.33
"106",19.5,96.7,16.47
"107",19.5,91.9,18.66
"108",20.4,85.2,14.09
"109",19.8,97.1,12.27
"110",19.4,91.2,15.55
"111",21.7,54.4,13
"112",22.8,81.6,10.16
"113",18.8,92.9,16.21
"114",18.7,95.4,17.09
"115",18.5,84.2,10.45
"116",18.3,88.2,15.76
"117",21.2,72.5,12.04
"118",19.2,82.6,10.3
"119",20.4,73.1,15.37
"120",19.3,65.2,13.61
"121",22,69.7,14.37
"122",20.3,84.1,14.27
"123",20.5,92.9,17.93
"124",17.3,97,25.41
"125",18.8,95.8,17.58
"126",21.4,88.4,14.81
"127",15.7,95.6,27.26
"128",16.2,96,17.19
"129",18,98.8,15.39
"130",14.3,94.7,18.34
"131",19.2,98.9,12.6
"132",19.6,97.7,12.26
"133",23,97.9,11.12
"134",18.4,95.4,15.03
"135",15.6,98.4,17.31
"136",18.1,98.2,16.96
"137",17.4,93.5,16.9
"138",17.1,98.4,14.59
"139",13.3,98.2,21.32
"140",17.8,97.9,18.46
"141",14,93.6,24.16
"142",14.4,100,34.41
"143",13.4,100,26.82
"144",15.6,100,26.42
"145",11.8,97.8,29.29
"146",13.8,100,27.8
"147",15.6,100,16.65
"148",14.6,95.7,29.53
"149",17.8,93.8,28.32
"150",15.4,94.9,21.45
"151",21.5,97.3,14.1
"152",19.6,100,13.28
"153",15.3,88,12.12
"154",19.4,98.5,15.79
"155",17,96,15.12
"156",15.6,82.6,15.02
"157",13.1,94,16.14
"158",41.3,97.4,4.59
"159",24.3,100,6.43
"160",23.3,100,7.39
"161",27,92.6,5.5
"162",50,90.8,1.73
"163",50,98.2,1.92
"164",50,93.9,3.32
"165",22.7,91.8,11.64
"166",25,93,9.81
"167",50,96.2,3.7
"168",23.8,79.2,12.14
"169",23.8,96.1,11.1
"170",22.3,95.2,11.32
"171",17.4,94.6,14.43
"172",19.1,97.3,12.03
"173",23.1,88.5,14.69
"174",23.6,84.1,9.04
"175",22.6,68.7,9.64
"176",29.4,33.1,5.33
"177",23.2,47.2,10.11
"178",24.6,73.4,6.29
"179",29.9,74.4,6.92
"180",37.2,58.4,5.04
"181",39.8,83.3,7.56
"182",36.2,62.2,9.45
"183",37.9,92.2,4.82
"184",32.5,95.6,5.68
"185",26.4,89.8,13.98
"186",29.6,68.8,13.15
"187",50,53.6,4.45
"188",32,41.1,6.68
"189",29.8,29.1,4.56
"190",34.9,38.9,5.39
"191",37,21.5,5.1
"192",30.5,30.8,4.69
"193",36.4,26.3,2.87
"194",31.1,9.9,5.03
"195",29.1,18.8,4.38
"196",50,32,2.97
"197",33.3,34.1,4.08
"198",30.3,36.6,8.61
"199",34.6,38.3,6.62
"200",34.9,15.3,4.56
"201",32.9,13.9,4.45
"202",24.1,38.4,7.43
"203",42.3,15.7,3.11
"204",48.5,33.2,3.81
"205",50,31.9,2.88
"206",22.6,22.3,10.87
"207",24.4,52.5,10.97
"208",22.5,72.7,18.06
"209",24.4,59.1,14.66
"210",20,100,23.09
"211",21.7,92.1,17.27
"212",19.3,88.6,23.98
"213",22.4,53.8,16.03
"214",28.1,32.3,9.38
"215",23.7,9.8,29.55
"216",25,42.4,9.47
"217",23.3,56,13.51
"218",28.7,85.1,9.69
"219",21.5,93.8,17.92
"220",23,92.4,10.5
"221",26.7,88.5,9.71
"222",21.7,91.3,21.46
"223",27.5,77.7,9.93
"224",30.1,80.8,7.6
"225",44.8,78.3,4.14
"226",50,83,4.63
"227",37.6,86.5,3.13
"228",31.6,79.9,6.36
"229",46.7,17,3.92
"230",31.5,21.4,3.76
"231",24.3,68.1,11.65
"232",31.7,76.9,5.25
"233",41.7,73.3,2.47
"234",48.3,70.4,3.95
"235",29,66.5,8.05
"236",24,61.5,10.88
"237",25.1,76.5,9.54
"238",31.5,71.6,4.73
"239",23.7,18.5,6.36
"240",23.3,42.2,7.37
"241",22,54.3,11.38
"242",20.1,65.1,12.4
"243",22.2,52.9,11.22
"244",23.7,7.8,5.19
"245",17.6,76.5,12.5
"246",18.5,70.2,18.46
"247",24.3,34.9,9.16
"248",20.5,79.2,10.15
"249",24.5,49.1,9.52
"250",26.2,17.5,6.56
"251",24.4,13,5.9
"252",24.8,8.9,3.59
"253",29.6,6.8,3.53
"254",42.8,8.4,3.54
"255",21.9,32,6.57
"256",20.9,19.1,9.25
"257",44,34.2,3.11
"258",50,86.9,5.12
"259",36,100,7.79
"260",30.1,100,6.9
"261",33.8,81.8,9.59
"262",43.1,89.4,7.26
"263",48.8,91.5,5.91
"264",31,94.5,11.25
"265",36.5,91.6,8.1
"266",22.8,62.8,10.45
"267",30.7,84.6,14.79
"268",50,67,7.44
"269",43.5,52.6,3.16
"270",20.7,61.5,13.65
"271",21.1,42.1,13
"272",25.2,16.3,6.59
"273",24.4,58.7,7.73
"274",35.2,51.8,6.58
"275",32.4,32.9,3.53
"276",32,42.8,2.98
"277",33.2,49,6.05
"278",33.1,27.6,4.16
"279",29.1,32.1,7.19
"280",35.1,32.2,4.85
"281",45.4,64.5,3.76
"282",35.4,37.2,4.59
"283",46,49.7,3.01
"284",50,24.8,3.16
"285",32.2,20.8,7.85
"286",22,31.9,8.23
"287",20.1,31.5,12.93
"288",23.2,31.3,7.14
"289",22.3,45.6,7.6
"290",24.8,22.9,9.51
"291",28.5,27.9,3.33
"292",37.3,27.7,3.56
"293",27.9,23.4,4.7
"294",23.9,18.4,8.58
"295",21.7,42.3,10.4
"296",28.6,31.1,6.27
"297",27.1,51,7.39
"298",20.3,58,15.84
"299",22.5,20.1,4.97
"300",29,10,4.74
"301",24.8,47.4,6.07
"302",22,40.4,9.5
"303",26.4,18.4,8.67
"304",33.1,17.7,4.86
"305",36.1,41.1,6.93
"306",28.4,58.1,8.93
"307",33.4,71.9,6.47
"308",28.2,70.3,7.53
"309",22.8,82.5,4.54
"310",20.3,76.7,9.97
"311",16.1,37.8,12.64
"312",22.1,52.8,5.98
"313",19.4,90.4,11.72
"314",21.6,82.8,7.9
"315",23.8,87.3,9.28
"316",16.2,77.7,11.5
"317",17.8,83.2,18.33
"318",19.8,71.7,15.94
"319",23.1,67.2,10.36
"320",21,58.8,12.73
"321",23.8,52.3,7.2
"322",23.1,54.3,6.87
"323",20.4,49.9,7.7
"324",18.5,74.3,11.74
"325",25,40.1,6.12
"326",24.6,14.7,5.08
"327",23,28.9,6.15
"328",22.2,43.7,12.79
"329",19.3,25.8,9.97
"330",22.6,17.2,7.34
"331",19.8,32.2,9.09
"332",17.1,28.4,12.43
"333",19.4,23.3,7.83
"334",22.2,38.1,5.68
"335",20.7,38.5,6.75
"336",21.1,34.5,8.01
"337",19.5,46.3,9.8
"338",18.5,59.6,10.56
"339",20.6,37.3,8.51
"340",19,45.4,9.74
"341",18.7,58.5,9.29
"342",32.7,49.3,5.49
"343",16.5,59.7,8.65
"344",23.9,56.4,7.18
"345",31.2,28.1,4.61
"346",17.5,48.5,10.53
"347",17.2,52.3,12.67
"348",23.1,27.7,6.36
"349",24.5,29.7,5.99
"350",26.6,34.5,5.89
"351",22.9,44.4,5.98
"352",24.1,35.9,5.49
"353",18.6,18.5,7.79
"354",30.1,36.1,4.5
"355",18.2,21.9,8.05
"356",20.6,19.5,5.57
"357",17.8,97.4,17.6
"358",21.7,91,13.27
"359",22.7,83.4,11.48
"360",22.6,81.3,12.67
"361",25,88,7.79
"362",19.9,91.1,14.19
"363",20.8,96.2,10.19
"364",16.8,89,14.64
"365",21.9,82.9,5.29
"366",27.5,87.9,7.12
"367",21.9,91.4,14
"368",23.1,100,13.33
"369",50,100,3.26
"370",50,96.8,3.73
"371",50,97.5,2.96
"372",50,100,9.53
"373",50,89.6,8.88
"374",13.8,100,34.77
"375",13.8,100,37.97
"376",15,97.9,13.44
"377",13.9,93.3,23.24
"378",13.3,98.8,21.24
"379",13.1,96.2,23.69
"380",10.2,100,21.78
"381",10.4,91.9,17.21
"382",10.9,99.1,21.08
"383",11.3,100,23.6
"384",12.3,100,24.56
"385",8.8,91.2,30.63
"386",7.2,98.1,30.81
"387",10.5,100,28.28
"388",7.4,89.5,31.99
"389",10.2,100,30.62
"390",11.5,98.9,20.85
"391",15.1,97,17.11
"392",23.2,82.5,18.76
"393",9.7,97,25.68
"394",13.8,92.6,15.17
"395",12.7,94.7,16.35
"396",13.1,98.8,17.12
"397",12.5,96,19.37
"398",8.5,98.9,19.92
"399",5,100,30.59
"400",6.3,77.8,29.97
"401",5.6,100,26.77
"402",7.2,100,20.32
"403",12.1,100,20.31
"404",8.3,96,19.77
"405",8.5,85.4,27.38
"406",5,100,22.98
"407",11.9,100,23.34
"408",27.9,100,12.13
"409",17.2,97.9,26.4
"410",27.5,100,19.78
"411",15,100,10.11
"412",17.2,100,21.22
"413",17.9,100,34.37
"414",16.3,100,20.08
"415",7,100,36.98
"416",7.2,100,29.05
"417",7.5,90.8,25.79
"418",10.4,89.1,26.64
"419",8.8,100,20.62
"420",8.4,76.5,22.74
"421",16.7,100,15.02
"422",14.2,95.3,15.7
"423",20.8,87.6,14.1
"424",13.4,85.1,23.29
"425",11.7,70.6,17.16
"426",8.3,95.4,24.39
"427",10.2,59.7,15.69
"428",10.9,78.7,14.52
"429",11,78.1,21.52
"430",9.5,95.6,24.08
"431",14.5,86.1,17.64
"432",14.1,94.3,19.69
"433",16.1,74.8,12.03
"434",14.3,87.9,16.22
"435",11.7,95,15.17
"436",13.4,94.6,23.27
"437",9.6,93.3,18.05
"438",8.7,100,26.45
"439",8.4,87.9,34.02
"440",12.8,93.9,22.88
"441",10.5,92.4,22.11
"442",17.1,97.2,19.52
"443",18.4,100,16.59
"444",15.4,100,18.85
"445",10.8,96.6,23.79
"446",11.8,94.8,23.98
"447",14.9,96.4,17.79
"448",12.6,96.6,16.44
"449",14.1,98.7,18.13
"450",13,98.3,19.31
"451",13.4,92.6,17.44
"452",15.2,98.2,17.73
"453",16.1,91.8,17.27
"454",17.8,99.3,16.74
"455",14.9,94.1,18.71
"456",14.1,86.5,18.13
"457",12.7,87.9,19.01
"458",13.5,80.3,16.94
"459",14.9,83.7,16.23
"460",20,84.4,14.7
"461",16.4,90,16.42
"462",17.7,88.4,14.65
"463",19.5,83,13.99
"464",20.2,89.9,10.29
"465",21.4,65.4,13.22
"466",19.9,48.2,14.13
"467",19,84.7,17.15
"468",19.1,94.5,21.32
"469",19.1,71,18.13
"470",20.1,56.7,14.76
"471",19.9,84,16.29
"472",19.6,90.7,12.87
"473",23.2,75,14.36
"474",29.8,67.6,11.66
"475",13.8,95.4,18.14
"476",13.3,97.4,24.1
"477",16.7,93.6,18.68
"478",12,97.3,24.91
"479",14.6,96.7,18.03
"480",21.4,88,13.11
"481",23,64.7,10.74
"482",23.7,74.9,7.74
"483",25,77,7.01
"484",21.8,40.3,10.42
"485",20.6,41.9,13.34
"486",21.2,51.9,10.58
"487",19.1,79.8,14.98
"488",20.6,53.2,11.45
"489",15.2,92.7,18.06
"490",7,98.3,23.97
"491",8.1,98,29.68
"492",13.6,98.8,18.07
"493",20.1,83.5,13.35
"494",21.8,54,12.01
"495",24.5,42.6,13.59
"496",23.1,28.8,17.6
"497",19.7,72.9,21.14
"498",18.3,70.6,14.1
"499",21.2,65.3,12.92
"500",17.5,73.5,15.1
"501",16.8,79.7,14.33
"502",22.4,69.1,9.67
"503",20.6,76.7,9.08
"504",23.9,91,5.64
"505",22,89.3,6.48
"506",11.9,80.8,7.88
